year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2021,"Common Tody-Flycatcher",Todirostrum cinereum,30,60,0.5
2021,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,3,60,0.05
2021,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,16,60,0.26666666666666666
2021,"White-throated Spadebill",Platyrinchus mystaceus,4,60,0.06666666666666667
2021,"Golden-crowned Spadebill",Platyrinchus coronatus,2,60,0.03333333333333333
2021,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,4,60,0.06666666666666667
2021,"Bran-colored Flycatcher",Myiophobus fasciatus,5,60,0.08333333333333333
2021,"Western Wood-Pewee",Contopus sordidulus,1,60,0.016666666666666666
2021,"Eastern Wood-Pewee",Contopus virens,1,60,0.016666666666666666
2021,"Yellow-bellied Flycatcher",Empidonax flaviventris,24,60,0.4
2021,"Bright-rumped Attila",Attila spadiceus,4,60,0.06666666666666667
2021,"Dusky-capped Flycatcher",Myiarchus tuberculifer,10,60,0.16666666666666666
2021,"Great Kiskadee",Pitangus sulphuratus,15,60,0.25
2021,"Boat-billed Flycatcher",Megarynchus pitangua,14,60,0.23333333333333334
2021,"Social Flycatcher",Myiozetetes similis,10,60,0.16666666666666666
2021,"Golden-bellied Flycatcher",Myiodynastes hemichrysus,1,60,0.016666666666666666
2021,"Tropical Kingbird",Tyrannus melancholicus,39,60,0.65
2021,"Fork-tailed Flycatcher",Tyrannus savana,1,60,0.016666666666666666
2021,"Turquoise Cotinga",Cotinga ridgwayi,1,60,0.016666666666666666
2021,"Rufous Piha",Lipaugus unirufus,3,60,0.05
2021,"Lance-tailed Manakin",Chiroxiphia lanceolata,4,60,0.06666666666666667
2021,"White-ruffed Manakin",Corapipo altera,11,60,0.18333333333333332
2021,"Blue-crowned Manakin",Lepidothrix coronata,14,60,0.23333333333333334
2021,"Orange-collared Manakin",Manacus aurantiacus,18,60,0.3
2021,"Black-crowned Tityra",Tityra inquisitor,2,60,0.03333333333333333
2021,"Masked Tityra",Tityra semifasciata,4,60,0.06666666666666667
2021,"Northern Schiffornis",Schiffornis veraepacis,7,60,0.11666666666666667
2021,"Barred Becard",Pachyramphus versicolor,4,60,0.06666666666666667
2021,"White-winged Becard",Pachyramphus polychopterus,1,60,0.016666666666666666
2021,"Rose-throated Becard",Pachyramphus aglaiae,8,60,0.13333333333333333
2021,"Yellow-throated Vireo",Vireo flavifrons,12,60,0.2
2021,"Brown-capped Vireo",Vireo leucophrys,1,60,0.016666666666666666
2021,"Philadelphia Vireo",Vireo philadelphicus,2,60,0.03333333333333333
2021,"Yellow-green Vireo",Vireo flavoviridis,5,60,0.08333333333333333
2021,"Tawny-crowned Greenlet",Tunchiornis ochraceiceps,1,60,0.016666666666666666
2021,"Lesser Greenlet",Pachysylvia decurtata,27,60,0.45
2021,"Green Shrike-Vireo",Vireolanius pulchellus,3,60,0.05
2021,"Rufous-browed Peppershrike",Cyclarhis gujanensis,6,60,0.1
2021,"Brown Jay",Psilorhinus morio,17,60,0.2833333333333333
2021,"Blue-and-white Swallow",Pygochelidon cyanoleuca,46,60,0.7666666666666667
2021,"Northern Rough-winged Swallow",Stelgidopteryx serripennis,4,60,0.06666666666666667
2021,"Southern Rough-winged Swallow",Stelgidopteryx ruficollis,16,60,0.26666666666666666
2021,"Gray-breasted Martin",Progne chalybea,8,60,0.13333333333333333
2021,"Scaly-breasted Wren",Microcerculus marginatus,10,60,0.16666666666666666
2021,"House Wren",Troglodytes aedon,21,60,0.35
2021,"Ochraceous Wren",Troglodytes ochraceus,3,60,0.05
2021,"Black-bellied Wren",Pheugopedius fasciatoventris,1,60,0.016666666666666666
2021,"Rufous-breasted Wren",Pheugopedius rutilus,18,60,0.3
2021,"Plain Wren",Cantorchilus modestus,13,60,0.21666666666666667
2021,"Riverside Wren",Cantorchilus semibadius,4,60,0.06666666666666667
2021,"White-breasted Wood-Wren",Henicorhina leucosticta,21,60,0.35
2021,"Gray-breasted Wood-Wren",Henicorhina leucophrys,10,60,0.16666666666666666
2021,"Long-billed Gnatwren",Ramphocaenus melanurus,7,60,0.11666666666666667
